@RELATION burstmodel
@ATTRIBUTE dealer {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player1−1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player1-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player2-1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player2-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player3-1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player3-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player4-1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE player4-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE card-1 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE card-2 {ACE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, JACK, QUEEN, KING, NONE}
@ATTRIBUTE total NUMERIC
@ATTRIBUTE result {burst, non-burst}
@DATA
EIGHT,ACE,TEN,SEVEN,THREE,SEVEN,FOUR,EIGHT,FOUR,NONE,NONE,12,non-burst
SEVEN,EIGHT,KING,FIVE,EIGHT,ACE,FIVE,TWO,THREE,NONE,NONE,13,non-burst
SEVEN,EIGHT,KING,FIVE,EIGHT,ACE,FIVE,TWO,THREE,NONE,NONE,16,non-burst
SEVEN,EIGHT,KING,FIVE,EIGHT,ACE,FIVE,TWO,THREE,NONE,NONE,5,non-burst
SEVEN,EIGHT,KING,FIVE,EIGHT,ACE,FIVE,TWO,THREE,QUEEN,NONE,15,burst
SIX,JACK,ACE,SIX,QUEEN,THREE,KING,EIGHT,EIGHT,NONE,NONE,16,burst
SIX,JACK,ACE,SIX,QUEEN,THREE,KING,EIGHT,EIGHT,NONE,NONE,13,burst
SIX,JACK,ACE,SIX,QUEEN,THREE,KING,EIGHT,EIGHT,NONE,NONE,16,burst
KING,JACK,SEVEN,TWO,SEVEN,SEVEN,SIX,THREE,THREE,NONE,NONE,9,non-burst
KING,JACK,SEVEN,TWO,SEVEN,SEVEN,SIX,THREE,THREE,NONE,NONE,13,non-burst
KING,JACK,SEVEN,TWO,SEVEN,SEVEN,SIX,THREE,THREE,NONE,NONE,6,non-burst
KING,JACK,SEVEN,TWO,SEVEN,SEVEN,SIX,THREE,THREE,QUEEN,NONE,16,burst
JACK,THREE,KING,SEVEN,EIGHT,NINE,NINE,SIX,FOUR,NONE,NONE,13,burst
JACK,THREE,KING,SEVEN,EIGHT,NINE,NINE,SIX,FOUR,NONE,NONE,15,burst
JACK,THREE,KING,SEVEN,EIGHT,NINE,NINE,SIX,FOUR,NONE,NONE,10,non-burst
JACK,THREE,KING,SEVEN,EIGHT,NINE,NINE,SIX,FOUR,THREE,NONE,13,non-burst
FOUR,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,NONE,NONE,16,non-burst
FOUR,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,NONE,NONE,12,non-burst
FOUR,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,TWO,NONE,14,non-burst
FOUR,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,NONE,NONE,15,non-burst
FOUR,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,NONE,NONE,7,non-burst
FOUR,KING,SIX,TEN,TWO,EIGHT,SEVEN,FOUR,THREE,NINE,NONE,16,burst
SEVEN,QUEEN,QUEEN,TWO,FIVE,JACK,THREE,NINE,FOUR,NONE,NONE,7,non-burst
SEVEN,QUEEN,QUEEN,TWO,FIVE,JACK,THREE,NINE,FOUR,NINE,NONE,16,non-burst
SEVEN,QUEEN,QUEEN,TWO,FIVE,JACK,THREE,NINE,FOUR,NONE,NONE,13,burst
SEVEN,QUEEN,QUEEN,TWO,FIVE,JACK,THREE,NINE,FOUR,NONE,NONE,13,non-burst
ACE,TEN,NINE,FIVE,FIVE,JACK,TWO,TWO,JACK,NONE,NONE,10,non-burst
ACE,TEN,NINE,FIVE,FIVE,JACK,TWO,TWO,JACK,NONE,NONE,12,burst
ACE,TEN,NINE,FIVE,FIVE,JACK,TWO,TWO,JACK,NONE,NONE,12,non-burst
TEN,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,NONE,NONE,6,non-burst
TEN,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,JACK,NONE,16,burst
TEN,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,NONE,NONE,12,burst
TEN,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,NONE,NONE,14,non-burst
TEN,TWO,FOUR,JACK,TWO,SIX,EIGHT,SIX,SEVEN,NONE,NONE,13,non-burst
FOUR,SIX,QUEEN,FIVE,JACK,NINE,SEVEN,FIVE,TEN,NONE,NONE,16,burst
FOUR,SIX,QUEEN,FIVE,JACK,NINE,SEVEN,FIVE,TEN,NONE,NONE,15,burst
FOUR,SIX,QUEEN,FIVE,JACK,NINE,SEVEN,FIVE,TEN,NONE,NONE,16,burst
FOUR,SIX,QUEEN,FIVE,JACK,NINE,SEVEN,FIVE,TEN,NONE,NONE,15,burst
QUEEN,SIX,NINE,TWO,TEN,KING,FOUR,NINE,TWO,NONE,NONE,15,burst
QUEEN,SIX,NINE,TWO,TEN,KING,FOUR,NINE,TWO,NONE,NONE,12,non-burst
QUEEN,SIX,NINE,TWO,TEN,KING,FOUR,NINE,TWO,NONE,NONE,14,burst
QUEEN,SIX,NINE,TWO,TEN,KING,FOUR,NINE,TWO,NONE,NONE,11,non-burst
JACK,SIX,ACE,JACK,TWO,KING,NINE,TWO,QUEEN,NONE,NONE,12,non-burst
JACK,SIX,ACE,JACK,TWO,KING,NINE,TWO,QUEEN,NONE,NONE,12,burst
TEN,FOUR,EIGHT,EIGHT,FOUR,TWO,JACK,QUEEN,QUEEN,NONE,NONE,12,non-burst
TEN,FOUR,EIGHT,EIGHT,FOUR,TWO,JACK,QUEEN,QUEEN,NONE,NONE,12,non-burst
TEN,FOUR,EIGHT,EIGHT,FOUR,TWO,JACK,QUEEN,QUEEN,NONE,NONE,12,non-burst
NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,NONE,NONE,8,non-burst
NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,NONE,NONE,8,non-burst
NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,FOUR,NONE,12,non-burst
NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,NONE,NONE,6,non-burst
NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,TWO,NONE,8,non-burst
NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,NONE,NONE,7,non-burst
NINE,TWO,SIX,SIX,TWO,THREE,THREE,THREE,FOUR,THREE,NONE,10,non-burst
QUEEN,QUEEN,KING,ACE,SEVEN,TEN,EIGHT,FOUR,TEN,NONE,NONE,14,non-burst
EIGHT,THREE,NINE,SIX,TWO,TEN,TEN,QUEEN,SIX,NONE,NONE,12,non-burst
EIGHT,THREE,NINE,SIX,TWO,TEN,TEN,QUEEN,SIX,NONE,NONE,8,non-burst
EIGHT,THREE,NINE,SIX,TWO,TEN,TEN,QUEEN,SIX,THREE,NONE,11,non-burst
EIGHT,THREE,NINE,SIX,TWO,TEN,TEN,QUEEN,SIX,NONE,NONE,16,non-burst
QUEEN,THREE,ACE,FIVE,NINE,JACK,QUEEN,TEN,KING,NONE,NONE,14,non-burst
QUEEN,THREE,ACE,FIVE,NINE,JACK,QUEEN,TEN,KING,NONE,NONE,14,non-burst
QUEEN,THREE,ACE,FIVE,NINE,JACK,QUEEN,TEN,KING,TWO,NONE,16,burst
THREE,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,NONE,NONE,11,non-burst
THREE,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,ACE,NONE,12,non-burst
THREE,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,NONE,NONE,10,non-burst
THREE,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,FOUR,NONE,14,non-burst
THREE,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,NONE,NONE,11,non-burst
THREE,QUEEN,EIGHT,TWO,NINE,FIVE,FIVE,SIX,FIVE,THREE,NONE,14,non-burst
TEN,SEVEN,KING,FOUR,JACK,FIVE,ACE,SIX,NINE,NONE,NONE,14,burst
TEN,SEVEN,KING,FOUR,JACK,FIVE,ACE,SIX,NINE,NONE,NONE,16,non-burst
TEN,SEVEN,KING,FOUR,JACK,FIVE,ACE,SIX,NINE,SIX,NONE,12,burst
TEN,SEVEN,KING,FOUR,JACK,FIVE,ACE,SIX,NINE,NONE,NONE,15,non-burst
SEVEN,NINE,FIVE,JACK,EIGHT,SIX,EIGHT,SIX,TWO,NONE,NONE,14,non-burst
SEVEN,NINE,FIVE,JACK,EIGHT,SIX,EIGHT,SIX,TWO,NONE,NONE,14,non-burst
SEVEN,NINE,FIVE,JACK,EIGHT,SIX,EIGHT,SIX,TWO,NONE,NONE,8,non-burst
SEVEN,NINE,FIVE,JACK,EIGHT,SIX,EIGHT,SIX,TWO,SIX,NONE,14,burst
QUEEN,NINE,QUEEN,TEN,NINE,TEN,SIX,KING,FIVE,NONE,NONE,16,non-burst
QUEEN,NINE,QUEEN,TEN,NINE,TEN,SIX,KING,FIVE,NONE,NONE,15,non-burst
ACE,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,NONE,NONE,15,non-burst
ACE,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,NONE,NONE,7,non-burst
ACE,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,SEVEN,NONE,14,non-burst
ACE,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,NONE,NONE,16,non-burst
ACE,EIGHT,SEVEN,FIVE,TWO,QUEEN,SIX,QUEEN,FIVE,NONE,NONE,15,burst
THREE,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,NONE,NONE,13,burst
THREE,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,NONE,NONE,10,non-burst
THREE,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,NONE,NONE,11,non-burst
THREE,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,ACE,NONE,12,non-burst
THREE,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,ACE,TWO,14,non-burst
THREE,SEVEN,SIX,FIVE,FIVE,SEVEN,FOUR,EIGHT,EIGHT,NONE,NONE,16,burst
SEVEN,EIGHT,SIX,FOUR,SIX,KING,FOUR,ACE,NINE,NONE,NONE,14,non-burst
SEVEN,EIGHT,SIX,FOUR,SIX,KING,FOUR,ACE,NINE,NONE,NONE,10,non-burst
SEVEN,EIGHT,SIX,FOUR,SIX,KING,FOUR,ACE,NINE,NONE,NONE,14,non-burst
THREE,QUEEN,ACE,KING,TEN,NINE,SEVEN,THREE,EIGHT,NONE,NONE,16,non-burst
THREE,QUEEN,ACE,KING,TEN,NINE,SEVEN,THREE,EIGHT,NONE,NONE,11,non-burst
THREE,QUEEN,ACE,KING,TEN,NINE,SEVEN,THREE,EIGHT,FIVE,NONE,16,burst
TEN,EIGHT,QUEEN,NINE,SEVEN,FIVE,NINE,JACK,THREE,NONE,NONE,16,burst
TEN,EIGHT,QUEEN,NINE,SEVEN,FIVE,NINE,JACK,THREE,NONE,NONE,14,non-burst
TEN,EIGHT,QUEEN,NINE,SEVEN,FIVE,NINE,JACK,THREE,NONE,NONE,13,burst
KING,FIVE,SEVEN,TEN,SEVEN,SIX,TEN,NINE,TWO,NONE,NONE,12,non-burst
KING,FIVE,SEVEN,TEN,SEVEN,SIX,TEN,NINE,TWO,NONE,NONE,16,non-burst
KING,FIVE,SEVEN,TEN,SEVEN,SIX,TEN,NINE,TWO,NONE,NONE,11,non-burst
KING,FIVE,SEVEN,TEN,SEVEN,SIX,TEN,NINE,TWO,TWO,NONE,13,burst
THREE,THREE,QUEEN,THREE,KING,FOUR,THREE,FIVE,NINE,NONE,NONE,13,burst
THREE,THREE,QUEEN,THREE,KING,FOUR,THREE,FIVE,NINE,NONE,NONE,13,non-burst
THREE,THREE,QUEEN,THREE,KING,FOUR,THREE,FIVE,NINE,NONE,NONE,7,non-burst
THREE,THREE,QUEEN,THREE,KING,FOUR,THREE,FIVE,NINE,NONE,NONE,14,burst
SEVEN,FOUR,TWO,QUEEN,QUEEN,NINE,SEVEN,JACK,TEN,NONE,NONE,6,non-burst
SEVEN,FOUR,TWO,QUEEN,QUEEN,NINE,SEVEN,JACK,TEN,KING,NONE,16,non-burst
SEVEN,FOUR,TWO,QUEEN,QUEEN,NINE,SEVEN,JACK,TEN,NONE,NONE,16,non-burst
EIGHT,TWO,FIVE,QUEEN,FIVE,JACK,SEVEN,EIGHT,KING,NONE,NONE,7,non-burst
EIGHT,TWO,FIVE,QUEEN,FIVE,JACK,SEVEN,EIGHT,KING,EIGHT,NONE,15,non-burst
EIGHT,TWO,FIVE,QUEEN,FIVE,JACK,SEVEN,EIGHT,KING,NONE,NONE,15,burst
KING,QUEEN,JACK,JACK,SIX,FOUR,ACE,EIGHT,NINE,NONE,NONE,16,burst
KING,QUEEN,JACK,JACK,SIX,FOUR,ACE,EIGHT,NINE,NONE,NONE,15,non-burst
KING,QUEEN,JACK,JACK,SIX,FOUR,ACE,EIGHT,NINE,SEVEN,NONE,12,non-burst
SIX,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,NONE,NONE,16,burst
SIX,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,NONE,NONE,13,burst
SIX,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,NONE,NONE,12,non-burst
SIX,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,TWO,NONE,14,non-burst
SIX,SIX,JACK,NINE,FOUR,TEN,TWO,QUEEN,FIVE,NONE,NONE,15,burst
KING,TWO,SEVEN,FIVE,ACE,FIVE,FOUR,QUEEN,TEN,NONE,NONE,9,non-burst
KING,TWO,SEVEN,FIVE,ACE,FIVE,FOUR,QUEEN,TEN,NONE,NONE,16,non-burst
KING,TWO,SEVEN,FIVE,ACE,FIVE,FOUR,QUEEN,TEN,NONE,NONE,9,non-burst
KING,TWO,SEVEN,FIVE,ACE,FIVE,FOUR,QUEEN,TEN,FOUR,NONE,13,non-burst
SEVEN,EIGHT,SIX,SEVEN,JACK,SEVEN,THREE,ACE,QUEEN,NONE,NONE,14,burst
SEVEN,EIGHT,SIX,SEVEN,JACK,SEVEN,THREE,ACE,QUEEN,NONE,NONE,10,non-burst
QUEEN,SEVEN,NINE,SIX,TEN,FIVE,TEN,QUEEN,THREE,NONE,NONE,16,burst
QUEEN,SEVEN,NINE,SIX,TEN,FIVE,TEN,QUEEN,THREE,NONE,NONE,16,non-burst
QUEEN,SEVEN,NINE,SIX,TEN,FIVE,TEN,QUEEN,THREE,NONE,NONE,15,burst
QUEEN,SEVEN,NINE,SIX,TEN,FIVE,TEN,QUEEN,THREE,NONE,NONE,13,non-burst
FIVE,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,NONE,NONE,12,non-burst
FIVE,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,TWO,NONE,14,non-burst
FIVE,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,NONE,NONE,5,non-burst
FIVE,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,TEN,NONE,15,non-burst
FIVE,NINE,THREE,THREE,TWO,ACE,JACK,EIGHT,TWO,NONE,NONE,10,non-burst
KING,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,NONE,NONE,16,burst
KING,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,NONE,NONE,12,non-burst
KING,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,THREE,NONE,15,non-burst
KING,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,NONE,NONE,13,non-burst
KING,EIGHT,EIGHT,SIX,SIX,SEVEN,SIX,FOUR,QUEEN,NONE,NONE,14,burst
